Tuple,count
"('common', ('India', u'Maharashtra'), '2013-02-11')",2
"('number', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('violation', ('India', u'West Bengal'), '2013-01-21')",1
"('week', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('large', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('work', ('India', u'Maharashtra'), '2013-02-11')",1
"('nearly', ('India', u'Maharashtra'), '2013-02-11')",1
"('password', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('lassa', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('concern', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('demand', ('India', u'Karnataka'), '2013-04-22')",1
"('suggest', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('sheet', ('India', u'Punjab'), '2013-04-08')",1
"('authority', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('mistakenly', ('India', u'Maharashtra'), '2013-04-15')",1
"('last', ('India', u'Maharashtra'), '2013-04-15')",2
"('alert', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('kalahandi', ('India', u'Orissa'), '2013-04-22')",1
"('start', ('India', u'Maharashtra'), '2013-02-11')",1
"('migration', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('fun', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('stop', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('watchman', ('India', u'Maharashtra'), '2013-04-15')",1
"('release', ('India', u'Orissa'), '2013-04-22')",1
"('case', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('stay', ('India', u'Maharashtra'), '2013-04-15')",1
"('form', ('India', u'Karnataka'), '2013-04-22')",1
"('decrease', ('India', u'Maharashtra'), '2013-02-11')",1
"('guideline', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('shell', ('India', u'Goa'), '2013-04-01')",1
"('actual', ('India', u'West Bengal'), '2013-01-21')",1
"('like', ('India', u'Punjab'), '2013-01-21')",1
"('governance', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('rich', ('India', u'Goa'), '2013-04-01')",1
"('poisoning', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('rarely', ('India', u'Karnataka'), '2013-04-22')",1
"('scientist', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('attack', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('cremate', ('India', u'Maharashtra'), '2013-02-11')",1
"('good', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('borne', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('area', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('smartphone', ('India', u'Karnataka'), '2013-04-22')",1
"('death', ('India', u'Rajasthan'), '2013-04-22')",1
"('bangalore', ('India', u'Orissa'), '2013-04-22')",1
"('career', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('sure', ('India', u'Maharashtra'), '2013-02-11')",1
"('govt', ('India', u'Punjab'), '2013-01-21')",1
"('claim', ('India', u'West Bengal'), '2013-01-21')",1
"('today', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('head', ('India', u'Punjab'), '2013-01-21')",1
"('several', ('India', u'Maharashtra'), '2013-02-11')",1
"('information', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('worker', ('India', u'Orissa'), '2013-04-22')",1
"('massive', ('India', u'Karnataka'), '2013-04-22')",1
"('rapist', ('India', u'Karnataka'), '2013-04-22')",1
"('old', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('marilyn', ('India', u'Karnataka'), '2013-04-22')",1
"('kapurthala', ('India', u'Punjab'), '2013-01-21')",1
"('support', ('India', u'Maharashtra'), '2013-01-21')",1
"('poisonous', ('India', u'Punjab'), '2013-04-08')",1
"('mandarmani', ('India', u'West Bengal'), '2013-01-21')",1
"('season', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('whopping', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('rename', ('India', u'Karnataka'), '2013-04-22')",1
"('government', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('aej', ('India', u'Maharashtra'), '2013-02-11')",1
"('cease', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('fall', ('India', u'Karnataka'), '2013-04-22')",1
"('today', ('India', u'Maharashtra'), '2013-01-21')",1
"('finding', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('service', ('India', u'Maharashtra'), '2013-02-11')",1
"('find', ('India', u'Karnataka'), '2013-04-22')",1
"('vomit', ('India', u'Punjab'), '2013-04-08')",1
"('organize', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('may', ('India', u'Maharashtra'), '2013-04-15')",1
"('teck', ('India', u'Madhya Pradesh'), '2013-04-01')",1
"('success', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('day', ('India', u'Karnataka'), '2013-04-22')",1
"('top', ('India', u'Punjab'), '2013-04-08')",1
"('news', ('India', u'Rajasthan'), '2013-04-22')",1
"('aid', ('India', u'Karnataka'), '2013-04-22')",1
"('larva', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('confirm', ('India', u'Goa'), '2013-04-01')",1
"('flow', ('India', u'Maharashtra'), '2013-02-11')",1
"('perceptual', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('india', ('India', u'Punjab'), '2013-04-08')",1
"('australia', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('buy', ('India', u'Karnataka'), '2013-04-22')",1
"('contaminated', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('inboxer', ('India', u'Maharashtra'), '2013-01-21')",1
"('add', ('India', u'Punjab'), '2013-04-08')",1
"('month', ('India', u'Orissa'), '2013-04-22')",1
"('stir', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('high', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('clash', ('India', u'Karnataka'), '2013-04-22')",1
"('design', ('India', u'Maharashtra'), '2013-02-11')",1
"('approach', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('severity', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('official', ('India', u'Tamil Nadu'), '2013-04-22')",2
"('long', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('attention', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('pakistan', ('India', u'Karnataka'), '2013-04-22')",1
"('education', ('India', u'Punjab'), '2013-01-21')",1
"('civic', ('India', u'Maharashtra'), '2013-02-11')",1
"('fountain', ('India', u'Karnataka'), '2013-04-22')",1
"('shatrughan', ('India', u'Maharashtra'), '2013-04-15')",1
"('news', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('bombing', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('primary', ('India', u'West Bengal'), '2013-01-21')",1
"('person', ('India', u'Rajasthan'), '2013-04-22')",1
"('day', ('India', u'Orissa'), '2013-04-22')",1
"('monsoon', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('test', ('India', u'Goa'), '2013-04-01')",1
"('reason', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('death', ('India', u'Maharashtra'), '2013-02-11')",2
"('sachin', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('clinic', ('India', u'Goa'), '2013-04-01')",1
"('enter', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('spca', ('India', u'Goa'), '2013-01-21')",1
"('colombia', ('India', u'Maharashtra'), '2013-04-15')",1
"('admit', ('India', u'Punjab'), '2013-01-21')",1
"('causing', ('India', u'Maharashtra'), '2013-04-15')",1
"('one', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('add', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('lead', ('India', u'Karnataka'), '2013-04-22')",1
"('wrestle', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('success', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('research', ('India', u'Maharashtra'), '2013-02-11')",1
"('cadre', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('rosy', ('India', u'Maharashtra'), '2013-04-15')",1
"('frequent', ('India', u'Maharashtra'), '2013-01-21')",1
"('last', ('India', u'Punjab'), '2013-04-08')",1
"('faridkot', ('India', u'Punjab'), '2013-01-21')",1
"('milion', ('India', u'Madhya Pradesh'), '2013-04-08')",1
"('identify', ('India', u'Orissa'), '2013-04-22')",1
"('impossible', ('India', u'Maharashtra'), '2013-04-15')",2
"('become', ('India', u'Punjab'), '2013-04-08')",1
"('dekh', ('India', u'Punjab'), '2013-01-21')",1
"('whereas', ('India', u'Rajasthan'), '2013-04-22')",1
"('object', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('kapoor', ('India', u'Maharashtra'), '2013-04-15')",1
"('occasion', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('network', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('sngeetha', ('India', u'Maharashtra'), '2013-02-11')",1
"('special', ('India', u'West Bengal'), '2013-01-21')",1
"('window', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('execution', ('India', u'Maharashtra'), '2013-02-11')",1
"('cause', ('India', u'Goa'), '2013-04-01')",1
"('civil', ('India', u'Punjab'), '2013-01-21')",1
"('novelty', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('trial', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('pune', ('India', u'Maharashtra'), '2013-01-21')",1
"('information', ('India', u'Goa'), '2013-04-01')",1
"('united', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('fumigation', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('ringtones', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('jaipur', ('India', u'Rajasthan'), '2013-04-22')",1
"('population', ('India', u'Goa'), '2013-04-01')",1
"('create', ('India', u'Maharashtra'), '2013-02-11')",1
"('corporation', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('week', ('India', u'Maharashtra'), '2013-02-11')",1
"('due', ('India', u'Punjab'), '2013-04-08')",1
"('journal', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('self', ('India', u'Maharashtra'), '2013-02-11')",1
"('confirm', ('India', u'Maharashtra'), '2013-01-21')",1
"('october', ('India', u'Madhya Pradesh'), '2013-03-04')",1
