Tuple,count
"('common', ('India', u'Maharashtra'), '2013-02-11')",2
"('number', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('violation', ('India', u'West Bengal'), '2013-01-21')",1
"('week', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('even', ('India', u'Kerala'), '2013-05-27')",1
"('large', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('work', ('India', u'Maharashtra'), '2013-02-11')",1
"('bid', ('India', u'Kerala'), '2013-05-06')",1
"('would', ('India', u'Maharashtra'), '2013-05-20')",1
"('nearly', ('India', u'Maharashtra'), '2013-02-11')",1
"('confirmed', ('India', u'Karnataka'), '2013-05-20')",2
"('password', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('lassa', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('fall', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('concern', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('demand', ('India', u'Karnataka'), '2013-04-22')",1
"('suggest', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('sheet', ('India', u'Punjab'), '2013-04-08')",1
"('authority', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('mistakenly', ('India', u'Maharashtra'), '2013-04-15')",1
"('last', ('India', u'Maharashtra'), '2013-04-15')",2
"('alert', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('shell', ('India', 'Kerala'), '2013-05-13')",1
"('kalahandi', ('India', u'Orissa'), '2013-04-22')",1
"('confirm', ('India', u'Goa'), '2013-04-01')",1
"('migration', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('fun', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('stop', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('check', ('India', u'Delhi'), '2013-05-20')",1
"('watchman', ('India', u'Maharashtra'), '2013-04-15')",1
"('madam', ('India', u'Bihar'), '2013-05-20')",1
"('release', ('India', u'Orissa'), '2013-04-22')",1
"('track', ('India', u'Kerala'), '2013-05-06')",1
"('case', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('precautionary', ('India', u'Karnataka'), '2013-05-27')",1
"('available', ('India', u'Goa'), '2013-05-27')",1
"('issued', ('India', u'Haryana'), '2013-05-06')",1
"('form', ('India', u'Karnataka'), '2013-04-22')",1
"('pick', ('India', u'Haryana'), '2013-05-06')",1
"('decrease', ('India', u'Maharashtra'), '2013-02-11')",1
"('awareness', ('India', u'Kerala'), '2013-05-13')",1
"('guideline', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('tamil', ('India', u'Kerala'), '2013-05-27')",1
"('actual', ('India', u'West Bengal'), '2013-01-21')",1
"('like', ('India', u'Punjab'), '2013-01-21')",1
"('person', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('governance', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('rich', ('India', u'Goa'), '2013-04-01')",1
"('poisoning', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('mirror', ('India', u'Kerala'), '2013-05-13')",1
"('rarely', ('India', u'Karnataka'), '2013-04-22')",1
"('killer', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('scientist', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('attack', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('cremate', ('India', u'Maharashtra'), '2013-02-11')",1
"('factory', ('India', u'Orissa'), '2013-04-22')",1
"('reduce', ('India', u'Madhya Pradesh'), '2013-05-06')",1
"('good', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('sheik', ('India', u'Kerala'), '2013-05-06')",1
"('borne', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('area', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('author', ('India', u'Madhya Pradesh'), '2013-04-08')",1
"('smartphone', ('India', u'Karnataka'), '2013-04-22')",1
"('help', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('bangalore', ('India', u'Orissa'), '2013-04-22')",1
"('career', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('sure', ('India', u'Maharashtra'), '2013-02-11')",1
"('biharsharif', ('India', u'Bihar'), '2013-05-20')",1
"('claim', ('India', u'West Bengal'), '2013-01-21')",1
"('today', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('head', ('India', u'Punjab'), '2013-01-21')",1
"('several', ('India', u'Maharashtra'), '2013-02-11')",1
"('people', ('India', u'Karnataka'), '2013-05-20')",1
"('information', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('worker', ('India', u'Orissa'), '2013-04-22')",1
"('say', ('India', u'Kerala'), '2013-05-06')",1
"('massive', ('India', u'Karnataka'), '2013-04-22')",1
"('around', ('India', u'Delhi'), '2013-05-20')",1
"('rapist', ('India', u'Karnataka'), '2013-04-22')",1
"('old', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('marilyn', ('India', u'Karnataka'), '2013-04-22')",1
"('kapurthala', ('India', u'Punjab'), '2013-01-21')",1
"('support', ('India', u'Maharashtra'), '2013-01-21')",1
"('poisonous', ('India', u'Punjab'), '2013-04-08')",1
"('mandarmani', ('India', u'West Bengal'), '2013-01-21')",1
"('season', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('note', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('whopping', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('rename', ('India', u'Karnataka'), '2013-04-22')",1
"('government', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('aej', ('India', u'Maharashtra'), '2013-02-11')",1
"('village', ('India', u'Uttar Pradesh'), '2013-05-06')",1
"('cease', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('fall', ('India', u'Karnataka'), '2013-04-22')",1
"('today', ('India', u'Maharashtra'), '2013-01-21')",1
"('finding', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('aggrieved', ('India', u'Karnataka'), '2013-05-20')",1
"('team', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('service', ('India', u'Maharashtra'), '2013-02-11')",1
"('find', ('India', u'Karnataka'), '2013-04-22')",1
"('vomit', ('India', u'Punjab'), '2013-04-08')",1
"('indicate', ('India', u'Kerala'), '2013-05-27')",1
"('organize', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('time', ('India', u'Maharashtra'), '2013-05-20')",1
"('build', ('India', u'Kerala'), '2013-05-06')",1
"('effort', ('India', u'Karnataka'), '2013-05-20')",1
"('may', ('India', u'Maharashtra'), '2013-04-15')",1
"('president', ('India', u'Kerala'), '2013-05-06')",1
"('contain', ('India', u'Karnataka'), '2013-05-27')",1
"('teck', ('India', u'Madhya Pradesh'), '2013-04-01')",1
"('metro', ('India', u'West Bengal'), '2013-05-06')",1
"('success', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('day', ('India', u'Karnataka'), '2013-04-22')",1
"('due', ('India', u'Delhi'), '2013-05-20')",1
"('hear', ('India', u'Delhi'), '2013-05-20')",1
"('top', ('India', u'Punjab'), '2013-04-08')",1
"('news', ('India', u'Rajasthan'), '2013-04-22')",1
"('guaranteed', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('poison', ('India', u'Goa'), '2013-05-27')",1
"('look', ('India', u'Kerala'), '2013-05-06')",1
"('start', ('India', u'Maharashtra'), '2013-02-11')",1
"('pune', ('India', u'Orissa'), '2013-04-22')",1
"('perceptual', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('source', ('India', u'Kerala'), '2013-05-27')",2
"('struggling', ('India', u'Karnataka'), '2013-04-22')",1
"('deputy', ('India', u'Haryana'), '2013-05-06')",1
"('kakkilya', ('India', u'Karnataka'), '2013-05-27')",1
"('asian', ('India', u'Madhya Pradesh'), '2013-05-06')",1
"('due', ('India', u'Uttar Pradesh'), '2013-05-20')",2
"('australia', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('saudi', ('India', 'Kerala'), '2013-05-13')",1
"('group', ('India', u'Kerala'), '2013-05-06')",1
"('buy', ('India', u'Karnataka'), '2013-04-22')",1
"('possible', ('India', u'Kerala'), '2013-05-27')",1
"('contaminated', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('say', ('India', u'Uttar Pradesh'), '2013-05-06')",1
"('inboxer', ('India', u'Maharashtra'), '2013-01-21')",1
"('officer', ('India', u'Goa'), '2013-05-27')",1
"('bindukumari', ('India', u'Kerala'), '2013-05-27')",1
"('skill', ('India', u'Kerala'), '2013-05-06')",1
"('add', ('India', u'Punjab'), '2013-04-08')",1
"('month', ('India', u'Orissa'), '2013-04-22')",1
"('larva', ('India', u'Haryana'), '2013-05-06')",1
"('stir', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('high', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('clash', ('India', u'Karnataka'), '2013-04-22')",1
"('design', ('India', u'Maharashtra'), '2013-02-11')",1
"('approach', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('coalgate', ('India', u'Kerala'), '2013-05-06')",1
"('severity', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('official', ('India', u'Tamil Nadu'), '2013-04-22')",2
"('long', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('attention', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('pakistan', ('India', u'Karnataka'), '2013-04-22')",1
"('education', ('India', u'Punjab'), '2013-01-21')",1
"('civic', ('India', u'Maharashtra'), '2013-02-11')",1
"('fountain', ('India', u'Karnataka'), '2013-04-22')",1
"('post', ('India', u'Kerala'), '2013-05-13')",2
"('shatrughan', ('India', u'Maharashtra'), '2013-04-15')",1
"('news', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('bombing', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('saturday', ('India', u'Kerala'), '2013-05-27')",1
"('primary', ('India', u'West Bengal'), '2013-01-21')",1
"('person', ('India', u'Rajasthan'), '2013-04-22')",1
"('malegowda', ('India', u'Karnataka'), '2013-05-20')",1
"('monsoon', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('incidence', ('India', u'Karnataka'), '2013-05-27')",1
"('copyright', ('India', u'Haryana'), '2013-05-06')",1
"('test', ('India', u'Goa'), '2013-04-01')",1
