Epi week start date,case count
2013-01-14,0.0
2013-01-21,0.0
2013-01-28,0.0
2013-02-04,0.0
2013-02-11,0.0
2013-02-18,0.0
2013-02-25,0.0
2013-03-04,0.0
2013-03-11,0.0
2013-03-18,14.0
2013-03-25,0.0
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,14.0
2013-04-29,0.0
2013-05-06,10.0
2013-05-13,66.0
2013-05-20,79.0
2013-05-27,30.0
2013-06-03,0.0
2013-06-10,0.0
2013-06-17,0.0
2013-06-24,88.0
2013-07-01,81.0
2013-07-08,155.0
2013-07-15,0.0
2013-07-22,94.0
2013-07-29,146.0
2013-08-05,627.0
2013-08-12,0.0
2013-08-19,66.0
2013-08-26,70.0
2013-09-02,278.0
2013-09-09,130.0
2013-09-16,35.0
2013-09-23,25.0
2013-09-30,0.0
2013-10-07,643.0
2013-10-14,0.0
2013-10-21,153.0
2013-10-28,169.0
2013-11-04,22.0
2013-11-11,72.0
2013-11-18,0.0
2013-11-25,102.0
2013-12-02,0.0
2013-12-09,0.0
2013-12-16,0.0
2013-12-23,0.0
2013-12-30,0.0
2014-01-06,0.0
2014-01-13,0.0
2014-01-20,0.0
2014-01-27,0.0
2014-02-03,31.0
2014-02-10,0.0
2014-02-17,0.0
2014-02-24,0.0
2014-03-03,0.0
2014-03-10,0.0
2014-03-17,0.0
2014-03-24,0.0
2014-03-31,0.0
2014-04-07,0.0
2014-04-14,0.0
2014-04-21,0.0
2014-04-28,13.0
2014-05-05,0.0
2014-05-12,0.0
2014-05-19,8.0
2014-05-26,0.0
2014-06-02,84.0
2014-06-09,888.0
2014-06-16,0.0
2014-06-23,26.0
2014-06-30,11.0
2014-07-07,97.0
2014-07-14,0.0
2014-07-21,93.0
2014-07-28,0.0
2014-08-04,87.0
2014-08-11,0.0
2014-08-18,127.0
2014-08-25,162.0
2014-09-01,325.0
2014-09-08,32.0
2014-09-15,0.0
2014-09-22,43.0
2014-09-29,153.0
2014-10-06,72.0
2014-10-13,0.0
2014-10-20,0.0
2014-10-27,0.0
2014-11-03,370.0
2014-11-10,106.0
2014-11-17,63.0
2014-11-24,87.0
2014-12-01,48.0
2014-12-08,24.0
2014-12-15,0.0
2014-12-22,73.0
2014-12-29,156.0
2015-01-05,14.0
2015-01-12,0.0
